Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,6647.0,6664.0,6576.0,6585.0,6375.2470703125,620000
2020-08-20,6536.0,6571.0,6436.0,6436.0,6230.9931640625,524300
2020-08-21,6470.0,6565.0,6455.0,6515.0,6307.47705078125,654700
2020-08-24,6486.0,6638.0,6474.0,6612.0,6401.38671875,455900
2020-08-25,6670.0,6683.0,6582.0,6594.0,6383.96044921875,669300
2020-08-26,6593.0,6640.0,6581.0,6608.0,6397.5146484375,399400
2020-08-27,6653.0,6710.0,6625.0,6625.0,6413.97314453125,515000
2020-08-28,6643.0,6652.0,6358.0,6474.0,6267.7822265625,776900
2020-08-31,6620.0,6657.0,6573.0,6587.0,6377.18359375,629500
2020-09-01,6558.0,6656.0,6536.0,6635.0,6423.65478515625,509600
2020-09-02,6720.0,6725.0,6656.0,6714.0,6500.13818359375,539100
2020-09-03,6814.0,6814.0,6726.0,6770.0,6554.35400390625,498200
2020-09-04,6691.0,6726.0,6626.0,6667.0,6454.63525390625,449400
2020-09-07,6652.0,6658.0,6554.0,6609.0,6398.482421875,387700
2020-09-08,6642.0,6689.0,6607.0,6682.0,6469.1572265625,360900
2020-09-09,6653.0,6695.0,6605.0,6665.0,6452.69921875,565700
2020-09-10,6700.0,6725.0,6655.0,6680.0,6467.22119140625,572700
2020-09-11,6789.0,6950.0,6732.0,6950.0,6728.6201171875,1513900
2020-09-14,6936.0,7155.0,6923.0,7000.0,6777.02734375,756200
2020-09-15,6941.0,6947.0,6856.0,6924.0,6703.4482421875,483700
2020-09-16,6887.0,6924.0,6854.0,6911.0,6690.86279296875,434100
2020-09-17,6840.0,6902.0,6837.0,6900.0,6680.2138671875,477000
2020-09-18,6848.0,7037.0,6830.0,7019.0,6795.42236328125,928900
2020-09-23,7130.0,7287.0,7126.0,7258.0,7026.810546875,1010900
2020-09-24,7160.0,7270.0,7150.0,7245.0,7014.2236328125,703000
2020-09-25,7253.0,7464.0,7241.0,7447.0,7209.78955078125,1275400
2020-09-28,7466.0,7642.0,7466.0,7642.0,7398.57763671875,1224300
2020-09-29,7738.0,7802.0,7610.0,7790.0,7548.7783203125,1262500
2020-09-30,7700.0,7727.0,7628.0,7689.0,7450.90625,1309800
2020-10-02,7625.0,7759.0,7471.0,7639.0,7402.45458984375,1041300
2020-10-05,7717.0,7758.0,7650.0,7728.0,7488.6982421875,634000
2020-10-06,7655.0,7773.0,7597.0,7675.0,7437.33935546875,741900
2020-10-07,7699.0,7812.0,7676.0,7780.0,7539.08837890625,714200
2020-10-08,7791.0,7854.0,7767.0,7829.0,7586.57177734375,586500
2020-10-09,7819.0,7889.0,7759.0,7812.0,7570.09716796875,977200
2020-10-12,7790.0,7848.0,7777.0,7819.0,7576.880859375,387400
2020-10-13,7822.0,7912.0,7789.0,7872.0,7628.23974609375,360200
2020-10-14,7930.0,8004.0,7878.0,7911.0,7666.03125,556200
2020-10-15,7872.0,7948.0,7856.0,7875.0,7631.14599609375,460500
2020-10-16,7860.0,7917.0,7811.0,7848.0,7604.982421875,595400
2020-10-19,7867.0,7905.0,7825.0,7839.0,7596.26171875,523600
2020-10-20,7897.0,7925.0,7811.0,7860.0,7616.61083984375,525200
2020-10-21,7929.0,7972.0,7868.0,7893.0,7648.58935546875,547500
2020-10-22,7825.0,7866.0,7723.0,7766.0,7525.52197265625,584400
2020-10-23,7900.0,7910.0,7771.0,7845.0,7602.07568359375,559000
2020-10-26,7882.0,7930.0,7827.0,7912.0,7667.00146484375,445500
2020-10-27,7946.0,8064.0,7906.0,8060.0,7810.41796875,522400
2020-10-28,8064.0,8150.0,8020.0,8150.0,7897.63037109375,630800
2020-10-29,8058.0,8084.0,7970.0,8012.0,7763.904296875,541600
2020-10-30,7884.0,7884.0,7764.0,7776.0,7535.21240234375,1062400
2020-11-02,7714.0,7921.0,7709.0,7829.0,7586.57177734375,835000
2020-11-04,7932.0,7977.0,7851.0,7916.0,7670.876953125,824600
2020-11-05,7900.0,8008.0,7900.0,7993.0,7745.4921875,790200
2020-11-06,8000.0,8371.0,7998.0,8191.0,7937.361328125,912800
2020-11-09,8436.0,9049.0,8302.0,8996.0,8717.4345703125,1373300
2020-11-10,8396.0,8695.0,8234.0,8267.0,8011.0078125,1560100
2020-11-11,8223.0,8516.0,8161.0,8427.0,8166.0537109375,1464000
2020-11-12,8454.0,8769.0,8440.0,8723.0,8452.88671875,1017400
2020-11-13,8807.0,8878.0,8634.0,8687.0,8418.001953125,1144100
2020-11-16,8570.0,8810.0,8548.0,8766.0,8494.5556640625,1002500
2020-11-17,8900.0,8925.0,8716.0,8837.0,8563.3564453125,1006700
2020-11-18,8787.0,8881.0,8709.0,8847.0,8573.0478515625,772200
2020-11-19,8942.0,9155.0,8907.0,9151.0,8867.6337890625,1034600
2020-11-20,9069.0,9148.0,9010.0,9094.0,8812.400390625,602000
2020-11-24,9129.0,9430.0,9129.0,9379.0,9088.5751953125,1002200
2020-11-25,9371.0,9564.0,9357.0,9435.0,9142.83984375,1084400
2020-11-26,9500.0,9620.0,9456.0,9564.0,9267.8466796875,791300
2020-11-27,9579.0,9760.0,9535.0,9600.0,9302.732421875,981100
2020-11-30,9600.0,9627.0,9496.0,9530.0,9234.8994140625,1204300
2020-12-01,9745.0,9795.0,9585.0,9635.0,9336.6474609375,624000
2020-12-02,9722.0,9730.0,9444.0,9472.0,9178.6953125,1107900
2020-12-03,9400.0,9465.0,9354.0,9380.0,9089.5439453125,968300
2020-12-04,9323.0,9507.0,9300.0,9430.0,9137.9951171875,800200
2020-12-07,9430.0,9451.0,9346.0,9384.0,9093.419921875,765000
2020-12-08,9425.0,9465.0,9273.0,9345.0,9055.6279296875,830300
2020-12-09,9332.0,9473.0,9300.0,9402.0,9110.8623046875,818700
2020-12-10,9330.0,9448.0,9318.0,9372.0,9081.791015625,735600
2020-12-11,9450.0,9568.0,9424.0,9557.0,9261.0625,935000
2020-12-14,9536.0,9637.0,9523.0,9550.0,9254.279296875,499400
2020-12-15,9550.0,9559.0,9386.0,9501.0,9206.7958984375,690500
2020-12-16,9536.0,9627.0,9515.0,9619.0,9321.142578125,452300
2020-12-17,9569.0,9640.0,9522.0,9612.0,9314.3583984375,579000
2020-12-18,9564.0,9614.0,9345.0,9358.0,9068.224609375,1141400
2020-12-21,9358.0,9407.0,9125.0,9196.0,8911.240234375,808200
2020-12-22,9012.0,9089.0,8846.0,8877.0,8602.1181640625,948300
2020-12-23,8870.0,8980.0,8826.0,8971.0,8693.2080078125,679800
2020-12-24,8970.0,9007.0,8836.0,8902.0,8626.345703125,435300
2020-12-25,8990.0,8990.0,8838.0,8840.0,8566.2666015625,289600
2020-12-28,8897.0,8973.0,8827.0,8883.0,8607.9326171875,614100
2020-12-29,8769.0,8917.0,8661.0,8895.0,8619.5625,1052900
2020-12-30,8935.0,8965.0,8788.0,8926.0,8649.6025390625,724000
2021-01-04,8963.0,8975.0,8701.0,8736.0,8465.4853515625,543100
2021-01-05,8798.0,8858.0,8708.0,8766.0,8494.5556640625,757200
2021-01-06,8753.0,8828.0,8620.0,8630.0,8362.7666015625,804700
2021-01-07,8685.0,8770.0,8590.0,8641.0,8373.4267578125,1054300
2021-01-08,8791.0,9050.0,8685.0,9025.0,8745.53515625,1303900
2021-01-12,8987.0,9013.0,8858.0,8993.0,8714.52734375,1085600
2021-01-13,9113.0,9391.0,9111.0,9384.0,9093.419921875,1062400
2021-01-14,9371.0,9461.0,9221.0,9335.0,9045.9375,979400
2021-01-15,9237.0,9318.0,9195.0,9216.0,8930.6220703125,601700
2021-01-18,9160.0,9286.0,9123.0,9268.0,8981.01171875,427500
2021-01-19,9248.0,9402.0,9216.0,9351.0,9061.4423828125,443000
2021-01-20,9397.0,9425.0,9280.0,9344.0,9054.6591796875,526600
2021-01-21,9336.0,9396.0,9165.0,9303.0,9014.927734375,656900
2021-01-22,9201.0,9322.0,9201.0,9274.0,8986.826171875,636700
2021-01-25,9253.0,9550.0,9239.0,9544.0,9248.4658203125,676600
2021-01-26,9406.0,9496.0,9089.0,9101.0,8819.1826171875,1198000
2021-01-27,9126.0,9307.0,9022.0,9299.0,9011.052734375,1095400
2021-01-28,9021.0,9198.0,9000.0,9107.0,8824.9970703125,3819900
2021-01-29,9035.0,9169.0,8936.0,8941.0,8664.13671875,945300
2021-02-01,8950.0,9179.0,8941.0,9140.0,8856.9755859375,769800
2021-02-02,9108.0,9295.0,9043.0,9082.0,8800.771484375,654800
2021-02-03,9153.0,9172.0,8995.0,9059.0,8778.4833984375,707600
2021-02-04,9058.0,9106.0,8905.0,8912.0,8636.03515625,573600
2021-02-05,8858.0,8973.0,8858.0,8891.0,8615.685546875,770900
2021-02-08,8990.0,9378.0,8962.0,9239.0,8952.91015625,1207500
2021-02-09,8639.0,8723.0,8319.0,8647.0,8379.2421875,1996000
2021-02-10,8764.0,8885.0,8631.0,8858.0,8583.7080078125,1220800
2021-02-12,8984.0,8984.0,8653.0,8801.0,8528.4736328125,1202200
2021-02-15,8863.0,9074.0,8845.0,9057.0,8776.544921875,1105200
2021-02-16,9078.0,9406.0,9078.0,9300.0,9012.0205078125,834700
2021-02-17,9092.0,9160.0,8865.0,9027.0,8747.4736328125,967100
2021-02-18,9050.0,9059.0,8746.0,8876.0,8601.150390625,943600
2021-02-19,8872.0,8878.0,8760.0,8868.0,8593.3984375,513400
2021-02-22,8938.0,8995.0,8692.0,8744.0,8473.23828125,555300
2021-02-24,8594.0,8739.0,8418.0,8426.0,8165.0849609375,1067600
2021-02-25,8576.0,8641.0,8510.0,8537.0,8272.6484375,588600
2021-02-26,8412.0,8439.0,8146.0,8147.0,7894.72412109375,1153200
2021-03-01,8297.0,8397.0,8249.0,8319.0,8061.39794921875,683000
2021-03-02,8319.0,8364.0,8150.0,8227.0,7972.24658203125,695900
2021-03-03,8195.0,8343.0,8167.0,8313.0,8055.5830078125,753400
2021-03-04,8206.0,8279.0,8082.0,8141.0,7888.90966796875,768800
2021-03-05,8087.0,8118.0,7912.0,8061.0,7811.38671875,964500
2021-03-08,8183.0,8190.0,7958.0,8000.0,7752.27587890625,717500
2021-03-09,8032.0,8032.0,7846.0,7969.0,7722.23583984375,870000
2021-03-10,7969.0,8018.0,7840.0,7917.0,7671.845703125,879500
2021-03-11,7961.0,8045.0,7891.0,7962.0,7715.4521484375,658500
2021-03-12,7880.0,8050.0,7848.0,8029.0,7780.37841796875,1198200
2021-03-15,8014.0,8079.0,7936.0,8044.0,7794.9130859375,547800
2021-03-16,8019.0,8175.0,8007.0,8128.0,7876.3125,636200
2021-03-17,8200.0,8345.0,8160.0,8313.0,8055.5830078125,714500
2021-03-18,8259.0,8394.0,8240.0,8278.0,8021.66748046875,732500
2021-03-19,8190.0,8243.0,8144.0,8225.0,7970.30859375,1151700
2021-03-22,8086.0,8124.0,7938.0,7946.0,7699.9482421875,965500
2021-03-23,8008.0,8100.0,7914.0,7917.0,7671.845703125,653500
2021-03-24,7850.0,7929.0,7752.0,7766.0,7525.52197265625,692500
2021-03-25,7728.0,7863.0,7693.0,7823.0,7580.7568359375,546500
2021-03-26,7962.0,8099.0,7909.0,8013.0,7764.873046875,778900
2021-03-29,8013.0,8156.0,8004.0,8089.0,7838.51953125,857700
2021-03-30,8077.0,8077.0,7860.0,7864.0,7642.5322265625,731300
2021-03-31,7803.0,7980.0,7787.0,7893.0,7670.7158203125,741100
2021-04-01,8010.0,8041.0,7923.0,7988.0,7763.04052734375,584900
2021-04-02,8066.0,8092.0,7988.0,8059.0,7832.041015625,436300
2021-04-05,8105.0,8125.0,8022.0,8083.0,7855.36474609375,457000
2021-04-06,8228.0,8229.0,8055.0,8108.0,7879.66162109375,692100
2021-04-07,8121.0,8151.0,8032.0,8105.0,7876.74609375,634400
2021-04-08,8163.0,8248.0,8072.0,8223.0,7991.42236328125,558700
2021-04-09,8373.0,8514.0,8307.0,8455.0,8216.888671875,1186900
2021-04-12,8453.0,8492.0,8302.0,8302.0,8068.1982421875,510200
2021-04-13,8425.0,8549.0,8365.0,8494.0,8254.7890625,642800
2021-04-14,8494.0,8537.0,8399.0,8453.0,8214.9443359375,528600
2021-04-15,8389.0,8488.0,8386.0,8459.0,8220.775390625,353200
2021-04-16,8499.0,8510.0,8417.0,8429.0,8191.6220703125,494100
2021-04-19,8422.0,8446.0,8285.0,8328.0,8093.46533203125,400200
2021-04-20,8297.0,8300.0,8103.0,8140.0,7910.759765625,616200
2021-04-21,8000.0,8013.0,7791.0,7889.0,7666.828125,963000
2021-04-22,7952.0,8024.0,7858.0,7999.0,7773.73095703125,689200
2021-04-23,7943.0,7984.0,7869.0,7972.0,7747.49072265625,418900
2021-04-26,7962.0,8166.0,7855.0,8100.0,7871.88623046875,639200
2021-04-27,8057.0,8146.0,8028.0,8096.0,7867.99853515625,522300
2021-04-28,8107.0,8231.0,8096.0,8156.0,7926.30908203125,598900
2021-04-30,8016.0,8125.0,7930.0,8026.0,7799.97021484375,592300
2021-05-06,8006.0,8250.0,8006.0,8190.0,7959.3515625,942400
2021-05-07,8192.0,8250.0,8033.0,8049.0,7822.32275390625,621600
2021-05-10,8044.0,8213.0,8035.0,8091.0,7863.14013671875,823800
