銘柄名,市場・商品区分,33業種区分,17業種区分
セコム,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＮＳＷ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
セントラル警備保障,プライム（内国株式）,サービス業,情報通信・サービスその他 
アイネス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
丹青社,プライム（内国株式）,サービス業,情報通信・サービスその他 
メイテックグループホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＴＫＣ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
富士ソフト,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
アイエックス・ナレッジ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
応用地質,プライム（内国株式）,サービス業,情報通信・サービスその他 
船井総研ホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＮＳＤ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
進学会ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
東海リース,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
丸紅建材リース,スタンダード（内国株式）,卸売業,商社・卸売 
オオバ,プライム（内国株式）,サービス業,情報通信・サービスその他 
コナミグループ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
日建工学,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
いであ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
学究社,プライム（内国株式）,サービス業,情報通信・サービスその他 
札幌臨床検査センター,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
昴,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ハリマビステム,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
