銘柄名,市場・商品区分,33業種区分,17業種区分
極洋,プライム（内国株式）,水産・農林業,食品 
ニッスイ,プライム（内国株式）,水産・農林業,食品 
マルハニチロ,プライム（内国株式）,水産・農林業,食品 
雪国まいたけ,プライム（内国株式）,水産・農林業,食品 
カネコ種苗,スタンダード（内国株式）,水産・農林業,食品 
サカタのタネ,プライム（内国株式）,水産・農林業,食品 
ホクト,プライム（内国株式）,水産・農林業,食品 
秋川牧園,スタンダード（内国株式）,水産・農林業,食品 
アクシーズ,スタンダード（内国株式）,水産・農林業,食品 
ホーブ,スタンダード（内国株式）,水産・農林業,食品 
ベルグアース,スタンダード（内国株式）,水産・農林業,食品 
ホクリヨウ,スタンダード（内国株式）,水産・農林業,食品 
ルーデン・ホールディングス,グロース（内国株式）,建設業,建設・資材 
エムビーエス,グロース（内国株式）,建設業,建設・資材 
ウエストホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材 
ミライト・ワン,プライム（内国株式）,建設業,建設・資材 
インターライフホールディングス,スタンダード（内国株式）,建設業,建設・資材 
タマホーム,プライム（内国株式）,建設業,建設・資材 
サンヨーホームズ,スタンダード（内国株式）,建設業,建設・資材 
日本アクア,プライム（内国株式）,建設業,建設・資材 
ファーストコーポレーション,スタンダード（内国株式）,建設業,建設・資材 
Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,建設・資材 
動力,PRO Market,建設業,建設・資材 
ベステラ,プライム（内国株式）,建設業,建設・資材 
ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,建設・資材 
Ｒｏｂｏｔ　Ｈｏｍｅ,スタンダード（内国株式）,不動産業,不動産 
フィット,グロース（内国株式）,建設業,建設・資材 
岐阜造園,スタンダード（内国株式）,建設業,建設・資材 
安江工務店,スタンダード（内国株式）,建設業,建設・資材 
やまぜんホームズ,PRO Market,建設業,建設・資材 
技研ホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ニッソウ,グロース（内国株式）,建設業,建設・資材 
ひかりホールディングス,PRO Market,建設業,建設・資材 
キャンディル,スタンダード（内国株式）,建設業,建設・資材 
ＩＴｂｏｏｋホールディングス,グロース（内国株式）,建設業,建設・資材 
田中建設工業,スタンダード（内国株式）,建設業,建設・資材 
ＫＨＣ,スタンダード（内国株式）,建設業,建設・資材 
横浜ライト工業,PRO Market,建設業,建設・資材 
中外鉱業,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄 
住石ホールディングス,スタンダード（内国株式）,鉱業,エネルギー資源 
日鉄鉱業,プライム（内国株式）,鉱業,エネルギー資源 
三井松島ホールディングス,プライム（内国株式）,鉱業,エネルギー資源 
ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源 
石油資源開発,プライム（内国株式）,鉱業,エネルギー資源 
Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,エネルギー資源 
ＳＤＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 
ダイセキ環境ソリューション,スタンダード（内国株式）,建設業,建設・資材 
第一カッター興業,スタンダード（内国株式）,建設業,建設・資材 
明豊ファシリティワークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
美樹工業,スタンダード（内国株式）,建設業,建設・資材 
安藤・間,プライム（内国株式）,建設業,建設・資材 
東急建設,プライム（内国株式）,建設業,建設・資材 
コムシスホールディングス,プライム（内国株式）,建設業,建設・資材 
日本電技,スタンダード（内国株式）,建設業,建設・資材 
シンクレイヤ,スタンダード（内国株式）,建設業,建設・資材 
ビーアールホールディングス,プライム（内国株式）,建設業,建設・資材 
麻生フオームクリート,スタンダード（内国株式）,建設業,建設・資材 
オーテック,スタンダード（内国株式）,建設業,建設・資材 
メルディアＤＣ,グロース（内国株式）,建設業,建設・資材 
コーアツ工業,スタンダード（内国株式）,建設業,建設・資材 
創建エース,スタンダード（内国株式）,建設業,建設・資材 
太洋基礎工業,スタンダード（内国株式）,建設業,建設・資材 
高松コンストラクショングループ,プライム（内国株式）,建設業,建設・資材 
工藤建設,スタンダード（内国株式）,建設業,建設・資材 
東建コーポレーション,プライム（内国株式）,建設業,建設・資材 
ソネック,スタンダード（内国株式）,建設業,建設・資材 
藤田エンジニアリング,スタンダード（内国株式）,建設業,建設・資材 
ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,建設業,建設・資材 
富士古河Ｅ＆Ｃ,スタンダード（内国株式）,建設業,建設・資材 
三井住建道路,スタンダード（内国株式）,建設業,建設・資材 
ヤマウラ,プライム（内国株式）,建設業,建設・資材 
アジアゲートホールディングス,スタンダード（内国株式）,建設業,建設・資材 
オリエンタル白石,プライム（内国株式）,建設業,建設・資材 
ナカボーテック,スタンダード（内国株式）,建設業,建設・資材 
三東工業社,スタンダード（内国株式）,建設業,建設・資材 
ＥＴＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 
大本組,スタンダード（内国株式）,建設業,建設・資材 
マサル,スタンダード（内国株式）,建設業,建設・資材 
守谷商会,スタンダード（内国株式）,建設業,建設・資材 
第一建設工業,スタンダード（内国株式）,建設業,建設・資材 
大成建設,プライム（内国株式）,建設業,建設・資材 
大林組,プライム（内国株式）,建設業,建設・資材 
清水建設,プライム（内国株式）,建設業,建設・資材 
飛島建設,プライム（内国株式）,建設業,建設・資材 
佐藤渡辺,スタンダード（内国株式）,建設業,建設・資材 
長谷工コーポレーション,プライム（内国株式）,建設業,建設・資材 
松井建設,スタンダード（内国株式）,建設業,建設・資材 
錢高組,スタンダード（内国株式）,建設業,建設・資材 
鹿島建設,プライム（内国株式）,建設業,建設・資材 
不動テトラ,プライム（内国株式）,建設業,建設・資材 
大末建設,プライム（内国株式）,建設業,建設・資材 
鉄建建設,プライム（内国株式）,建設業,建設・資材 
西松建設,プライム（内国株式）,建設業,建設・資材 
三井住友建設,プライム（内国株式）,建設業,建設・資材 
大豊建設,スタンダード（内国株式）,建設業,建設・資材 
佐田建設,スタンダード（内国株式）,建設業,建設・資材 
ナカノフドー建設,スタンダード（内国株式）,建設業,建設・資材 
田辺工業,スタンダード（内国株式）,建設業,建設・資材 
奥村組,プライム（内国株式）,建設業,建設・資材 
東鉄工業,プライム（内国株式）,建設業,建設・資材 
土屋ホールディングス,スタンダード（内国株式）,建設業,建設・資材 
サンユー建設,スタンダード（内国株式）,建設業,建設・資材 
大盛工業,スタンダード（内国株式）,建設業,建設・資材 
イチケン,スタンダード（内国株式）,建設業,建設・資材 
富士ピー・エス,スタンダード（内国株式）,建設業,建設・資材 
南海辰村建設,スタンダード（内国株式）,建設業,建設・資材 
淺沼組,プライム（内国株式）,建設業,建設・資材 
森組,スタンダード（内国株式）,建設業,建設・資材 
戸田建設,プライム（内国株式）,建設業,建設・資材 
熊谷組,プライム（内国株式）,建設業,建設・資材 
北野建設,スタンダード（内国株式）,建設業,建設・資材 
植木組,スタンダード（内国株式）,建設業,建設・資材 
矢作建設工業,プライム（内国株式）,建設業,建設・資材 
ピーエス三菱,プライム（内国株式）,建設業,建設・資材 
日本ハウスホールディングス,プライム（内国株式）,建設業,建設・資材 
大東建託,プライム（内国株式）,不動産業,不動産 
新日本建設,プライム（内国株式）,建設業,建設・資材 
東亜道路工業,プライム（内国株式）,建設業,建設・資材 
日本道路,プライム（内国株式）,建設業,建設・資材 
東亜建設工業,プライム（内国株式）,建設業,建設・資材 
日本国土開発,プライム（内国株式）,建設業,建設・資材 
若築建設,プライム（内国株式）,建設業,建設・資材 
東洋建設,プライム（内国株式）,建設業,建設・資材 
五洋建設,プライム（内国株式）,建設業,建設・資材 
金下建設,スタンダード（内国株式）,建設業,建設・資材 
世紀東急工業,プライム（内国株式）,建設業,建設・資材 
福田組,プライム（内国株式）,建設業,建設・資材 
大成温調,スタンダード（内国株式）,建設業,建設・資材 
テノックス,スタンダード（内国株式）,建設業,建設・資材 
日本ドライケミカル,スタンダード（内国株式）,機械,機械 
住友林業,プライム（内国株式）,建設業,建設・資材 
日本基礎技術,スタンダード（内国株式）,建設業,建設・資材 
巴コーポレーション,スタンダード（内国株式）,建設業,建設・資材 
大和ハウス工業,プライム（内国株式）,建設業,建設・資材 
ライト工業,プライム（内国株式）,建設業,建設・資材 
積水ハウス,プライム（内国株式）,建設業,建設・資材 
日特建設,プライム（内国株式）,建設業,建設・資材 
北陸電気工事,プライム（内国株式）,建設業,建設・資材 
ユアテック,プライム（内国株式）,建設業,建設・資材 
日本リーテック,プライム（内国株式）,建設業,建設・資材 
四電工,プライム（内国株式）,建設業,建設・資材 
中電工,プライム（内国株式）,建設業,建設・資材 
関電工,プライム（内国株式）,建設業,建設・資材 
きんでん,プライム（内国株式）,建設業,建設・資材 
東京エネシス,プライム（内国株式）,建設業,建設・資材 
トーエネック,プライム（内国株式）,建設業,建設・資材 
弘電社,スタンダード（内国株式）,建設業,建設・資材 
住友電設,プライム（内国株式）,建設業,建設・資材 
日本電設工業,プライム（内国株式）,建設業,建設・資材 
エクシオグループ,プライム（内国株式）,建設業,建設・資材 
新日本空調,プライム（内国株式）,建設業,建設・資材 
九電工,プライム（内国株式）,建設業,建設・資材 
サンテック,スタンダード（内国株式）,建設業,建設・資材 
三機工業,プライム（内国株式）,建設業,建設・資材 
日揮ホールディングス,プライム（内国株式）,建設業,建設・資材 
中外炉工業,プライム（内国株式）,建設業,建設・資材 
テクノ菱和,スタンダード（内国株式）,建設業,建設・資材 
高田工業所,スタンダード（内国株式）,建設業,建設・資材 
ヤマト,スタンダード（内国株式）,建設業,建設・資材 
太平電業,プライム（内国株式）,建設業,建設・資材 
高砂熱学工業,プライム（内国株式）,建設業,建設・資材 
中央ビルト工業,スタンダード（内国株式）,金属製品,建設・資材 
三晃金属工業,スタンダード（内国株式）,建設業,建設・資材 
ＮＥＣネッツエスアイ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
朝日工業社,プライム（内国株式）,建設業,建設・資材 
明星工業,プライム（内国株式）,建設業,建設・資材 
大氣社,プライム（内国株式）,建設業,建設・資材 
ダイダン,プライム（内国株式）,建設業,建設・資材 
協和日成,スタンダード（内国株式）,建設業,建設・資材 
日比谷総合設備,プライム（内国株式）,建設業,建設・資材 
神田通信機,スタンダード（内国株式）,建設業,建設・資材 
高橋カーテンウォール工業,スタンダード（内国株式）,建設業,建設・資材 
暁飯島工業,スタンダード（内国株式）,建設業,建設・資材 
ニップン,プライム（内国株式）,食料品,食品 
日清製粉グループ本社,プライム（内国株式）,食料品,食品 
日東富士製粉,スタンダード（内国株式）,食料品,食品 
昭和産業,プライム（内国株式）,食料品,食品 
鳥越製粉,スタンダード（内国株式）,食料品,食品 
中部飼料,プライム（内国株式）,食料品,食品 
日和産業,スタンダード（内国株式）,食料品,食品 
フィード・ワン,プライム（内国株式）,食料品,食品 
東洋精糖,スタンダード（内国株式）,食料品,食品 
日本甜菜製糖,プライム（内国株式）,食料品,食品 
ＤＭ三井製糖ホールディングス,プライム（内国株式）,食料品,食品 
塩水港精糖,スタンダード（内国株式）,食料品,食品 
フジ日本精糖,スタンダード（内国株式）,食料品,食品 
ウェルネオシュガー,プライム（内国株式）,食料品,食品 
ＬＩＦＵＬＬ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＭＩＸＩ,プライム（内国株式）,サービス業,情報通信・サービスその他 
インタースペース,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ジェイエイシーリクルートメント,プライム（内国株式）,サービス業,情報通信・サービスその他 
日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
メンバーズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
燦キャピタルマネージメント,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ヒップ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
クルーズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
中広,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＵＴグループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
アイティメディア,プライム（内国株式）,サービス業,情報通信・サービスその他 
ケアネット,プライム（内国株式）,サービス業,情報通信・サービスその他 
幼児活動研究会,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
Ｅ・Ｊホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
オープンアップグループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
セーラー広告,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
コシダカホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＦＲＯＮＴＥＯ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ジーエヌアイグループ,グロース（内国株式）,医薬品,医薬品 
ｎｍｓ　ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アルトナー,プライム（内国株式）,サービス業,情報通信・サービスその他 
地域新聞社,グロース（内国株式）,サービス業,情報通信・サービスその他 
パソナグループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＣＤＳ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
リンクアンドモチベーション,プライム（内国株式）,サービス業,情報通信・サービスその他 
博展,グロース（内国株式）,サービス業,情報通信・サービスその他 
エス・エム・エス,プライム（内国株式）,サービス業,情報通信・サービスその他 
成学社,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
サニーサイドアップグループ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
パーソルホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
リニカル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
シイエム・シイ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ソーバル,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
クックパッド,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アミタホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
エスクリ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アイ・ケイ・ケイホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
森永製菓,プライム（内国株式）,食料品,食品 
中村屋,スタンダード（内国株式）,食料品,食品 
江崎グリコ,プライム（内国株式）,食料品,食品 
名糖産業,プライム（内国株式）,食料品,食品 
ブルボン,スタンダード（内国株式）,食料品,食品 
井村屋グループ,プライム（内国株式）,食料品,食品 
不二家,プライム（内国株式）,食料品,食品 
山崎製パン,プライム（内国株式）,食料品,食品 
第一屋製パン,スタンダード（内国株式）,食料品,食品 
カンロ,スタンダード（内国株式）,食料品,食品 
モロゾフ,プライム（内国株式）,食料品,食品 
亀田製菓,プライム（内国株式）,食料品,食品 
岩塚製菓,スタンダード（内国株式）,食料品,食品 
寿スピリッツ,プライム（内国株式）,食料品,食品 
コモ,スタンダード（内国株式）,食料品,食品 
湖池屋,スタンダード（内国株式）,食料品,食品 
カルビー,プライム（内国株式）,食料品,食品 
森永乳業,プライム（内国株式）,食料品,食品 
六甲バター,プライム（内国株式）,食料品,食品 
ヤクルト本社,プライム（内国株式）,食料品,食品 
Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,食料品,食品 
明治ホールディングス,プライム（内国株式）,食料品,食品 
雪印メグミルク,プライム（内国株式）,食料品,食品 
プリマハム,プライム（内国株式）,食料品,食品 
日本ハム,プライム（内国株式）,食料品,食品 
林兼産業,スタンダード（内国株式）,食料品,食品 
丸大食品,プライム（内国株式）,食料品,食品 
福留ハム,スタンダード（内国株式）,食料品,食品 
Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,食料品,食品 
滝沢ハム,スタンダード（内国株式）,食料品,食品 
柿安本店,プライム（内国株式）,食料品,食品 
伊藤ハム米久ホールディングス,プライム（内国株式）,食料品,食品 
きょくとう,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
学情,プライム（内国株式）,サービス業,情報通信・サービスその他 
ドーン,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＣＳＳホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
スタジオアリス,プライム（内国株式）,サービス業,情報通信・サービスその他 
クロスキャット,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
シミックホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
エプコ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
システナ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ソフトフロントホールディングス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ｆｏｎｆｕｎ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＮＪＳ,プライム（内国株式）,サービス業,情報通信・サービスその他 
デジタルアーツ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
日鉄ソリューションズ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
東北新社,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
フォーサイド,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
綜合警備保障,プライム（内国株式）,サービス業,情報通信・サービスその他 
クエスト,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
イオレ,グロース（内国株式）,サービス業,情報通信・サービスその他 
キューブシステム,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
いちご,プライム（内国株式）,不動産業,不動産 
クオンタムソリューションズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
極楽湯ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アルバイトタイムス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
トランスジェニック,グロース（内国株式）,サービス業,情報通信・サービスその他 
平安レイサービス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
クシム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
エヌアイデイ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＡＳＪ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
日本駐車場開発,プライム（内国株式）,不動産業,不動産 
ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
コア,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
メディネット,グロース（内国株式）,サービス業,情報通信・サービスその他 
カカクコム,プライム（内国株式）,サービス業,情報通信・サービスその他 
アイロムグループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ケア２１,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
セントケア・ホールディング,プライム（内国株式）,サービス業,情報通信・サービスその他 
ギグワークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
サイネックス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ルネサンス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ディップ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＳＢＳホールディングス,プライム（内国株式）,陸運業,運輸・物流 
総医研ホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他 
ウェッジホールディングス,グロース（内国株式）,その他金融業,金融（除く銀行） 
デジタルホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
プラネット,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日本ケアサプライ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
新日本科学,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＤＮＡチップ研究所,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アマナ,グロース（内国株式）,サービス業,情報通信・サービスその他 
鉄人化計画,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＫＧ情報,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
キャリアデザインセンター,プライム（内国株式）,サービス業,情報通信・サービスその他 
ゲンダイエージェンシー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ベネフィット・ワン,プライム（内国株式）,サービス業,情報通信・サービスその他 
エムスリー,プライム（内国株式）,サービス業,情報通信・サービスその他 
ヒューマンホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ツカダ・グローバルホールディング,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ブラス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ケアサービス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アウトソーシング,プライム（内国株式）,サービス業,情報通信・サービスその他 
ウェルネット,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ワールドホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ディー・エヌ・エー,プライム（内国株式）,サービス業,情報通信・サービスその他 
博報堂ＤＹホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
シダー,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
共同ピーアール,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アスカネット,グロース（内国株式）,サービス業,情報通信・サービスその他 
ぐるなび,プライム（内国株式）,サービス業,情報通信・サービスその他 
タカミヤ,プライム（内国株式）,サービス業,情報通信・サービスその他 
プラップジャパン,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
コンピュータマインド,PRO Market,情報・通信業,情報通信・サービスその他 
ジャパンベストレスキューシステム,プライム（内国株式）,サービス業,情報通信・サービスその他 
オールアバウト,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アウンコンサルティング,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ファンコミュニケーションズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
ライク,プライム（内国株式）,サービス業,情報通信・サービスその他 
Ａｏｂａ‐ＢＢＴ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
フュートレック,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ヒビノ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
エスプール,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＷＤＢホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
手間いらず,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ジェイテック,グロース（内国株式）,サービス業,情報通信・サービスその他 
システム・ロケーション,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
タウンニュース社,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
翻訳センター,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
出前館,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ティア,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＣＤＧ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＪＴＰ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
アドウェイズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
バリューコマース,プライム（内国株式）,サービス業,情報通信・サービスその他 
インフォマート,プライム（内国株式）,サービス業,情報通信・サービスその他 
イーサポートリンク,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ユナイテッド,グロース（内国株式）,サービス業,情報通信・サービスその他 
オリエンタルコンサルタンツホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
日本和装ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
サッポロホールディングス,プライム（内国株式）,食料品,食品 
アサヒグループホールディングス,プライム（内国株式）,食料品,食品 
キリンホールディングス,プライム（内国株式）,食料品,食品 
宝ホールディングス,プライム（内国株式）,食料品,食品 
オエノンホールディングス,プライム（内国株式）,食料品,食品 
養命酒製造,プライム（内国株式）,食料品,食品 
北海道コカ・コーラボトリング,スタンダード（内国株式）,食料品,食品 
コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,食料品,食品 
ライフドリンク　カンパニー,プライム（内国株式）,食料品,食品 
フルッタフルッタ,グロース（内国株式）,食料品,食品 
サントリー食品インターナショナル,プライム（内国株式）,食料品,食品 
プレミアムウォーターホールディングス,スタンダード（内国株式）,食料品,食品 
ダイドーグループホールディングス,プライム（内国株式）,食料品,食品 
伊藤園,プライム（内国株式）,食料品,食品 
伊藤園 優先株式,プライム（内国株式）,食料品,食品 
キーコーヒー,プライム（内国株式）,食料品,食品 
ユニカフェ,スタンダード（内国株式）,食料品,食品 
ジャパンフーズ,スタンダード（内国株式）,食料品,食品 
日清オイリオグループ,プライム（内国株式）,食料品,食品 
不二製油グループ本社,プライム（内国株式）,食料品,食品 
かどや製油,スタンダード（内国株式）,食料品,食品 
Ｊ－オイルミルズ,プライム（内国株式）,食料品,食品 
ローソン,プライム（内国株式）,小売業,小売 
まんだらけ,スタンダード（内国株式）,小売業,小売 
イオン九州,スタンダード（内国株式）,小売業,小売 
アスモ,スタンダード（内国株式）,小売業,小売 
ベクターホールディングス,スタンダード（内国株式）,小売業,小売 
サンエー,プライム（内国株式）,小売業,小売 
カワチ薬品,プライム（内国株式）,小売業,小売 
オートウェーブ,スタンダード（内国株式）,小売業,小売 
イメージ　ワン,スタンダード（内国株式）,卸売業,商社・卸売 
タビオ,スタンダード（内国株式）,卸売業,商社・卸売 
カネ美食品,スタンダード（内国株式）,小売業,小売 
エービーシー・マート,プライム（内国株式）,小売業,小売 
夢みつけ隊,スタンダード（内国株式）,小売業,小売 
ハードオフコーポレーション,プライム（内国株式）,小売業,小売 
高千穂交易,プライム（内国株式）,卸売業,商社・卸売 
アスクル,プライム（内国株式）,小売業,小売 
ゲオホールディングス,プライム（内国株式）,小売業,小売 
魚喜,スタンダード（内国株式）,小売業,小売 
アダストリア,プライム（内国株式）,小売業,小売 
ジーフット,スタンダード（内国株式）,小売業,小売 
シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,小売業,小売 
オルバヘルスケアホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 
伊藤忠食品,プライム（内国株式）,卸売業,商社・卸売 
ＹＫＴ,スタンダード（内国株式）,卸売業,商社・卸売 
焼肉坂井ホールディングス,スタンダード（内国株式）,小売業,小売 
くら寿司,プライム（内国株式）,小売業,小売 
キャンドゥ,スタンダード（内国株式）,小売業,小売 
木徳神糧,スタンダード（内国株式）,卸売業,商社・卸売 
日本マクドナルドホールディングス,スタンダード（内国株式）,小売業,小売 
大戸屋ホールディングス,スタンダード（内国株式）,小売業,小売 
久世,スタンダード（内国株式）,卸売業,商社・卸売 
エレマテック,プライム（内国株式）,卸売業,商社・卸売 
ジェイホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 
ＩＫホールディングス,スタンダード（内国株式）,小売業,小売 
パルグループホールディングス,プライム（内国株式）,小売業,小売 
エディオン,プライム（内国株式）,小売業,小売 
あらた,プライム（内国株式）,卸売業,商社・卸売 
サーラコーポレーション,プライム（内国株式）,小売業,小売 
ワッツ,スタンダード（内国株式）,小売業,小売 
フェスタリアホールディングス,スタンダード（内国株式）,小売業,小売 
トーメンデバイス,プライム（内国株式）,卸売業,商社・卸売 
ハローズ,プライム（内国株式）,小売業,小売 
ピクセルカンパニーズ,スタンダード（内国株式）,卸売業,商社・卸売 
北雄ラッキー,スタンダード（内国株式）,小売業,小売 
ＪＰホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他 
石光商事,スタンダード（内国株式）,卸売業,商社・卸売 
テンポスホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 
フジオフードグループ本社,プライム（内国株式）,小売業,小売 
あみやき亭,プライム（内国株式）,小売業,小売 
東葛ホールディングス,スタンダード（内国株式）,小売業,小売 
東京エレクトロン　デバイス,プライム（内国株式）,卸売業,商社・卸売 
ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,小売業,小売 
エフティグループ,スタンダード（内国株式）,卸売業,商社・卸売 
ひらまつ,スタンダード（内国株式）,小売業,小売 
円谷フィールズホールディングス,プライム（内国株式）,卸売業,商社・卸売 
双日,プライム（内国株式）,卸売業,商社・卸売 
ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,小売業,小売 
